WN	W/cm2 sr cm-1
4000	5.7E-10
4025	2.1E-09
4050	1.777E-08
4075	3.533E-08
4100	5.824E-08
4125	7.929E-08
4150	6.936E-08
4175	1.1928E-07
4200	1.0649E-07
4225	1.461E-07
4250	1.5134E-07
4275	1.8902E-07
4300	2.0945E-07
4325	2.2848E-07
4350	2.2213E-07
4375	2.4433E-07
4400	2.5272E-07
4425	2.5772E-07
4450	2.7292E-07
4475	2.8475E-07
4500	2.8454E-07
4525	2.7205E-07
4550	2.5975E-07
4575	2.638E-07
4600	2.7456E-07
4625	2.7786E-07
4650	2.8776E-07
4675	3.1946E-07
4700	3.0783E-07
4725	2.9242E-07
4750	3.0129E-07
4775	2.8553E-07
4800	2.7367E-07
4825	1.9064E-07
4850	1.6581E-07
4875	1.7537E-07
4900	2.5351E-07
4925	2.2507E-07
4950	8.028E-08
4975	4.123E-08
5000	5.662E-08
5025	1.5798E-07
5050	1.3556E-07
5075	6.622E-08
5100	7.48E-09
5125	3.02E-09
5150	4.4E-10
5175	2E-11
5200	0
5225	0
5250	0
5275	0
5300	0
5325	0
5350	0
5375	0
5400	0
5425	0
5450	0
5475	0
5500	1E-11
5525	2.5E-10
5550	8.61E-09
5575	2.82E-08
5600	1.0736E-07
5625	1.1932E-07
5650	2.2978E-07
5675	2.818E-07
5700	2.7982E-07
5725	3.1657E-07
5750	3.0444E-07
5775	3.5741E-07
5800	3.5072E-07
5825	4.0533E-07
5850	3.9786E-07
5875	4.2747E-07
5900	4.3122E-07
5925	4.407E-07
5950	4.3521E-07
5975	4.5454E-07
6000	4.4253E-07
6025	4.6543E-07
6050	4.563E-07
6075	4.5379E-07
6100	4.5545E-07
6125	4.8141E-07
6150	4.9272E-07
6175	4.7814E-07
6200	4.5517E-07
6225	4.4208E-07
6250	4.4763E-07
6275	4.8264E-07
6300	4.7299E-07
6325	4.5158E-07
6350	4.3109E-07
6375	4.6066E-07
6400	4.9419E-07
6425	4.949E-07
6450	4.8972E-07
6475	4.7793E-07
6500	4.7276E-07
6525	4.514E-07
6550	4.2231E-07
6575	4.0581E-07
6600	3.3904E-07
6625	3.4652E-07
6650	2.4886E-07
6675	2.3883E-07
6700	1.5256E-07
6725	4.896E-08
6750	4.131E-08
6775	3.705E-08
6800	8.95E-09
6825	2.436E-08
6850	4.322E-08
6875	2.419E-08
6900	1.083E-08
6925	3.18E-09
6950	2.12E-09
6975	1.71E-09
7000	4.76E-09
7025	5.9E-10
7050	1.4E-10
7075	4E-11
7100	0
7125	0
7150	0
7175	0
7200	0
7225	0
7250	0
7275	0
7300	0
7325	0
7350	0
7375	0
7400	1E-10
7425	5.88E-09
7450	4.913E-08
7475	1.0082E-07
7500	8.827E-08
7525	1.2913E-07
7550	2.1798E-07
7575	2.397E-07
7600	2.7938E-07
7625	3.0105E-07
7650	3.6653E-07
7675	3.7691E-07
7700	4.1752E-07
7725	4.5608E-07
7750	4.706E-07
7775	4.9485E-07
7800	4.7157E-07
7825	4.6989E-07
7850	4.5513E-07
7875	3.6693E-07
7900	3.9828E-07
7925	4.3426E-07
7950	4.8237E-07
7975	4.9942E-07
8000	5.147E-07
8025	5.2256E-07
8050	5.217E-07
8075	0.000000524
8100	5.1429E-07
8125	5.054E-07
8150	4.7985E-07
8175	4.5567E-07
8200	4.752E-07
8225	4.3058E-07
8250	4.1955E-07
8275	4.0616E-07
8300	3.9015E-07
8325	4.0256E-07
8350	3.7745E-07
8375	4.1203E-07
8400	4.0084E-07
8425	3.5554E-07
8450	3.0763E-07
8475	3.8793E-07
8500	3.7245E-07
8525	3.4792E-07
8550	3.4964E-07
8575	2.7132E-07
8600	2.7666E-07
8625	1.6736E-07
8650	1.3163E-07
8675	6.569E-08
8700	7.021E-08
8725	1.567E-08
8750	6.844E-08
8775	8.449E-08
8800	3.677E-08
8825	2.607E-08
8850	3.19E-08
8875	1.223E-08
8900	1.857E-08
8925	1.978E-08
8950	4.336E-08
8975	1.0613E-07
9000	2.3591E-07
